180245b40	string	`eh vector vbase constructor iterator'
180245b68	string	`copy constructor closure'
180245b88	string	`udt returning'
180245ba8	string	`local vftable'
180245bb8	string	`local vftable constructor closure'
180245be8	string	 delete[]
180245bf8	string	`omni callsig'
180245c08	string	`placement delete closure'
180245c28	string	`placement delete[] closure'
180245c48	string	`managed vector constructor iterator'
180245c70	string	`managed vector destructor iterator'
180245c98	string	`eh vector copy constructor iterator'
180245cc0	string	`eh vector vbase copy constructor iterator'
180245cf0	string	`dynamic initializer for '
180245d10	string	`dynamic atexit destructor for '
180245d38	string	`vector copy constructor iterator'
180245d60	string	`vector vbase copy constructor iterator'
180245d90	string	`managed vector copy constructor iterator'
180245dc0	string	`local static thread guard'
180245de0	string	operator "" 
180245df0	string	operator co_await
180245e08	string	operator<=>
180245e18	string	 Type Descriptor'
180245e30	string	 Base Class Descriptor at (
180245e50	string	 Base Class Array'
180245e68	string	 Class Hierarchy Descriptor'
180245e88	string	 Complete Object Locator'
180245ea8	string	`anonymous namespace'
180245ed8	unicode	api-ms-win-core-fibers-l1-1-1
180245f18	unicode	api-ms-win-core-synch-l1-2-0
180245f58	unicode	kernel32
180245f70	unicode	api-ms-
180245f88	string	FlsAlloc
180245fa0	string	FlsFree
180245fb0	string	FlsGetValue
180245fc8	string	FlsSetValue
180245fe0	string	InitializeCriticalSectionEx
180246250	unicode	(null)
180246260	string	(null)
180246db0	unicode	minkernel\crts\ucrt\inc\corecrt_internal_strtox.h
180246e20	unicode	__crt_strtox::floating_point_value::as_double
180246e80	unicode	_is_double
180246ea0	unicode	__crt_strtox::floating_point_value::as_float
180246f00	unicode	!_is_double
180246f20	string	INITY
180246f28	string	inity
180247858	string	fmodf
180247c50	unicode	am/pm
180247db8	unicode	mscoree.dll
180247dd0	string	CorExitProcess
180248850	unicode	LC_ALL
180248860	unicode	LC_COLLATE
180248878	unicode	LC_CTYPE
180248890	unicode	LC_MONETARY
1802488a8	unicode	LC_NUMERIC
1802488c0	unicode	LC_TIME
180248bdc	string	Sunday
180248be4	string	Monday
180248bf0	string	Tuesday
180248bf8	string	Wednesday
180248c08	string	Thursday
180248c14	string	Friday
180248c20	string	Saturday
180248c60	string	January
180248c68	string	February
180248c74	string	March
180248c7c	string	April
180248c94	string	August
180248ca0	string	September
180248cb0	string	October
180248cb8	string	November
180248cc8	string	December
180248ce0	string	MM/dd/yy
180248cf0	string	dddd, MMMM dd, yyyy
180248d08	string	HH:mm:ss
180248d50	unicode	Sunday
180248d60	unicode	Monday
180248d70	unicode	Tuesday
180248d80	unicode	Wednesday
180248d98	unicode	Thursday
180248db0	unicode	Friday
180248dc0	unicode	Saturday
180248e38	unicode	January
180248e48	unicode	February
180248e60	unicode	March
180248e70	unicode	April
180248e80	unicode	June
180248e90	unicode	July
180248ea0	unicode	August
180248eb0	unicode	September
180248ec8	unicode	October
180248ed8	unicode	November
180248ef0	unicode	December
180248f18	unicode	MM/dd/yy
180248f30	unicode	dddd, MMMM dd, yyyy
180248f58	unicode	HH:mm:ss
180248f70	unicode	en-US
180249070	unicode	api-ms-win-core-datetime-l1-1-1
1802490b0	unicode	api-ms-win-core-fibers-l1-1-2
1802490f0	unicode	api-ms-win-core-file-l1-2-4
180249128	unicode	api-ms-win-core-file-l1-2-2
180249160	unicode	api-ms-win-core-file-l2-1-4
1802491a0	unicode	api-ms-win-core-localization-l1-2-1
1802491f0	unicode	api-ms-win-core-localization-obsolete-l1-2-0
180249250	unicode	api-ms-win-core-processthreads-l1-1-2
1802492a0	unicode	api-ms-win-core-string-l1-1-0
1802492e0	unicode	api-ms-win-core-sysinfo-l1-2-1
180249320	unicode	api-ms-win-core-winrt-l1-1-0
180249360	unicode	api-ms-win-core-xstate-l2-1-0
1802493a0	unicode	api-ms-win-rtcore-ntuser-window-l1-1-0
1802493f0	unicode	api-ms-win-security-systemfunctions-l1-1-0
180249450	unicode	ext-ms-win-ntuser-dialogbox-l1-1-0
1802494a0	unicode	ext-ms-win-ntuser-windowstation-l1-1-0
1802494f0	unicode	advapi32
180249508	unicode	kernelbase
180249520	unicode	ntdll
180249530	unicode	api-ms-win-appmodel-runtime-l1-1-2
180249578	unicode	user32
180249588	unicode	ext-ms-
1802495a0	string	AreFileApisANSI
1802495b8	string	CompareStringEx
1802495d0	string	EnumSystemLocalesEx
1802495f0	string	FlsGetValue2
180249608	string	GetDateFormatEx
180249620	string	GetLocaleInfoEx
180249638	string	GetTimeFormatEx
180249650	string	GetUserDefaultLocaleName
180249678	string	IsValidLocaleName
180249698	string	LCMapStringEx
1802496b0	string	LCIDToLocaleName
1802496d0	string	LocaleNameToLCID
1802496e8	string	AppPolicyGetProcessTerminationMethod
1802497a0	string	NAN(SNAN)
1802497b0	string	nan(snan)
1802497c0	string	NAN(IND)
1802497d0	string	nan(ind)
1802497dc	string	e+000
180249a0c	string	log10
180249a68	string	floor
180249ac0	string	_nextafter
18024a830	unicode	UTF-8
18024a840	unicode	UTF-16LEUNICODE
18024a888	unicode	ja-JP
18024a898	unicode	zh-CN
18024a8a8	unicode	ko-KR
18024a8b8	unicode	zh-TW
18024ae88	unicode	american
18024aea0	unicode	american english
18024aec8	unicode	american-english
18024aef0	unicode	australian
18024af08	unicode	belgian
18024af18	unicode	canadian
18024af40	unicode	chinese
18024af50	unicode	chinese-hongkong
18024af78	unicode	chinese-simplified
18024afa0	unicode	chinese-singapore
18024afc8	unicode	chinese-traditional
18024aff0	unicode	dutch-belgian
18024b010	unicode	english-american
18024b038	unicode	english-aus
18024b050	unicode	english-belize
18024b070	unicode	english-can
18024b088	unicode	english-caribbean
18024b0b0	unicode	english-ire
18024b0c8	unicode	english-jamaica
18024b0e8	unicode	english-nz
18024b100	unicode	english-south africa
18024b130	unicode	english-trinidad y tobago
18024b168	unicode	english-uk
18024b180	unicode	english-us
18024b198	unicode	english-usa
18024b1b0	unicode	french-belgian
18024b1d0	unicode	french-canadian
18024b1f0	unicode	french-luxembourg
18024b218	unicode	french-swiss
18024b238	unicode	german-austrian
18024b258	unicode	german-lichtenstein
18024b280	unicode	german-luxembourg
18024b2a8	unicode	german-swiss
18024b2c8	unicode	irish-english
18024b2e8	unicode	italian-swiss
18024b308	unicode	norwegian
