address	type	namespace	name
EXTERNAL:000000a4	Function	KERNEL32.DLL	InterlockedFlushSList
EXTERNAL:000000a5	Function	KERNEL32.DLL	InitializeCriticalSectionAndSpinCount
EXTERNAL:000000a6	Label	KERNEL32.DLL	TlsAlloc
EXTERNAL:000000a7	Label	KERNEL32.DLL	TlsGetValue
EXTERNAL:000000a8	Function	KERNEL32.DLL	TlsSetValue
EXTERNAL:000000a9	Label	KERNEL32.DLL	TlsFree
EXTERNAL:000000aa	Function	KERNEL32.DLL	FreeLibrary
EXTERNAL:000000ab	Function	KERNEL32.DLL	ExitProcess
EXTERNAL:000000ac	Function	KERNEL32.DLL	WriteFile
EXTERNAL:000000ad	Function	KERNEL32.DLL	GetConsoleOutputCP
EXTERNAL:000000ae	Function	KERNEL32.DLL	GetConsoleMode
EXTERNAL:000000af	Function	ADVAPI32.DLL	RegOpenKeyExW
EXTERNAL:000000b0	Function	ADVAPI32.DLL	RegQueryValueExW
EXTERNAL:000000b1	Function	ADVAPI32.DLL	RegCloseKey
180000000	Label	Global	IMAGE_DOS_HEADER_180000000
180000029	Label	Global	IMAGE_DOS_HEADER_180000000.e_res2[10][0]+1
18000003c	Label	Global	IMAGE_DOS_HEADER_180000000.e_lfanew
180000108	Label	Global	IMAGE_NT_HEADERS64_180000108
18000010e	Label	Global	IMAGE_NT_HEADERS64_180000108.FileHeader.NumberOfSections
18000011c	Label	Global	IMAGE_NT_HEADERS64_180000108.FileHeader.SizeOfOptionalHeader
180000120	Label	Global	IMAGE_NT_HEADERS64_180000108.OptionalHeader.Magic
180000210	Label	Global	IMAGE_SECTION_HEADER_180000210
180000218	Label	Global	IMAGE_SECTION_HEADER_180000210.Misc
18000021c	Label	Global	IMAGE_SECTION_HEADER_180000210.VirtualAddress
180000238	Label	Global	IMAGE_SECTION_HEADER_180000238
180000240	Label	Global	IMAGE_SECTION_HEADER_180000238.Misc
180000244	Label	Global	IMAGE_SECTION_HEADER_180000238.VirtualAddress
18000025c	Label	Global	IMAGE_SECTION_HEADER_180000238.Characteristics
180000328	Label	Global	DAT_180000328
180001000	Function	Global	FUN_180001000
180001010	Function	Global	FUN_180001010
18000113f	Label	Global	LAB_18000113f
180001151	Label	Global	LAB_180001151
1800011aa	Label	Global	LAB_1800011aa
1800011b9	Label	Global	LAB_1800011b9
1800011cd	Label	Global	LAB_1800011cd
180001240	Label	Global	LAB_180001240
180001246	Label	Global	LAB_180001246
18000125a	Label	Global	LAB_18000125a
180001280	Function	Global	Unwind@180001280
1800012c0	Function	Global	Unwind@1800012c0
180001300	Function	Global	FUN_180001300
180001398	Label	Global	LAB_180001398
1800014c0	Label	Global	LAB_1800014c0
180001580	Label	Global	LAB_180001580
1800015f0	Label	Global	LAB_1800015f0
180001670	Label	Global	LAB_180001670
180001760	Label	Global	LAB_180001760
18000199e	Label	Global	LAB_18000199e
1800019ce	Label	Global	LAB_1800019ce
180001a3c	Label	Global	LAB_180001a3c
180001a7b	Label	Global	LAB_180001a7b
180001ab9	Label	Global	LAB_180001ab9
180001ad0	Function	Global	FUN_180001ad0
180001b5f	Label	Global	LAB_180001b5f
180001b74	Label	Global	LAB_180001b74
180001bb4	Label	Global	LAB_180001bb4
180001bc3	Label	Global	LAB_180001bc3
180001bd6	Label	Global	LAB_180001bd6
180001c59	Label	Global	LAB_180001c59
180001c5e	Label	Global	LAB_180001c5e
180001c72	Label	Global	LAB_180001c72
180001ca0	Function	Global	Unwind@180001ca0
180001ce0	Function	Global	Unwind@180001ce0
180001d20	Function	Global	FUN_180001d20
180001d70	Label	Global	LAB_180001d70
180001d7d	Label	Global	LAB_180001d7d
180001e08	Label	Global	LAB_180001e08
180001e0d	Label	Global	LAB_180001e0d
180001e2e	Label	Global	LAB_180001e2e
180001e96	Label	Global	LAB_180001e96
180001e9c	Label	Global	LAB_180001e9c
180001ed0	Function	Global	Unwind@180001ed0
180001ef0	Function	Global	FUN_180001ef0
180001f69	Label	Global	LAB_180001f69
180001fb0	Label	Global	LAB_180001fb0
180002070	Label	Global	LAB_180002070
1800020f0	Label	Global	LAB_1800020f0
18000212b	Label	Global	LAB_18000212b
18000219e	Label	Global	LAB_18000219e
1800021b3	Label	Global	LAB_1800021b3
1800021e9	Label	Global	LAB_1800021e9
180002220	Label	Global	LAB_180002220
180002240	Function	Global	FUN_180002240
1800022b5	Label	Global	LAB_1800022b5
180002330	Label	Global	LAB_180002330
180002400	Label	Global	LAB_180002400
1800024c0	Label	Global	LAB_1800024c0
180002530	Label	Global	LAB_180002530
1800025f2	Label	Global	LAB_1800025f2
